Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1659669827.08102107048;10.1.1.1;10.2.1.1;59;500;54321;1234;1;0;1659669827.04244804382;0.03857302666;purr2.log;purr2;purr;142390
1659669827.11532211304;10.1.1.1;10.2.1.1;59;500;54321;1234;2;0;1659669827.07567501068;0.03964710236;purr2.log;purr2;purr;142390
1659669827.22616696358;10.1.1.1;10.2.1.1;59;500;54321;1234;3;0;1659669827.11871790886;0.10744905472;purr2.log;purr2;purr;142390
1659669827.31240510941;10.1.1.1;10.2.1.1;59;500;54321;1234;4;0;1659669827.22328209877;0.08912301064;purr2.log;purr2;purr;142390
1659669827.35782408714;10.1.1.1;10.2.1.1;59;500;54321;1234;5;0;1659669827.32313394547;0.03469014168;purr2.log;purr2;purr;142390
1659669827.39716911316;10.1.1.1;10.2.1.1;59;500;54321;1234;6;0;1659669827.36716389656;0.03000521660;purr2.log;purr2;purr;142390
1659669827.43372607231;10.1.1.1;10.2.1.1;59;500;54321;1234;7;0;1659669827.40745806694;0.02626800537;purr2.log;purr2;purr;142390
1659669827.47670197487;10.1.1.1;10.2.1.1;59;500;54321;1234;8;0;1659669827.44754409790;0.02915787697;purr2.log;purr2;purr;142390
1659669827.52729988098;10.1.1.1;10.2.1.1;59;500;54321;1234;9;0;1659669827.48704290390;0.04025697708;purr2.log;purr2;purr;142390
1659669827.57513809204;10.1.1.1;10.2.1.1;59;500;54321;1234;10;0;1659669827.53539991379;0.03973817825;purr2.log;purr2;purr;142390
1659669827.61609506607;10.1.1.1;10.2.1.1;59;500;54321;1234;11;0;1659669827.57873010635;0.03736495972;purr2.log;purr2;purr;142390
1659669827.66081190109;10.1.1.1;10.2.1.1;59;500;54321;1234;12;0;1659669827.61874604225;0.04206585884;purr2.log;purr2;purr;142390
1659669827.70467591286;10.1.1.1;10.2.1.1;59;500;54321;1234;13;0;1659669827.67535591125;0.02932000160;purr2.log;purr2;purr;142390
1659669827.74731898308;10.1.1.1;10.2.1.1;59;500;54321;1234;14;0;1659669827.71520996094;0.03210902214;purr2.log;purr2;purr;142390
1659669827.78626298904;10.1.1.1;10.2.1.1;59;500;54321;1234;15;0;1659669827.75102400780;0.03523898125;purr2.log;purr2;purr;142390
1659669827.83082294464;10.1.1.1;10.2.1.1;59;500;54321;1234;16;0;1659669827.79522109032;0.03560185432;purr2.log;purr2;purr;142390
1659669827.86911392212;10.1.1.1;10.2.1.1;59;500;54321;1234;17;0;1659669827.83941507339;0.02969884872;purr2.log;purr2;purr;142390
1659669827.91554093361;10.1.1.1;10.2.1.1;59;500;54321;1234;18;0;1659669827.88353395462;0.03200697899;purr2.log;purr2;purr;142390
1659669827.95389008522;10.1.1.1;10.2.1.1;59;500;54321;1234;19;0;1659669827.92267107964;0.03121900558;purr2.log;purr2;purr;142390
1659669827.98559498787;10.1.1.1;10.2.1.1;59;500;54321;1234;20;0;1659669827.95930409431;0.02629089355;purr2.log;purr2;purr;142390
1659669828.02602005005;10.1.1.1;10.2.1.1;59;500;54321;1234;21;0;1659669827.99913406372;0.02688598633;purr2.log;purr2;purr;142390
1659669828.07348489761;10.1.1.1;10.2.1.1;59;500;54321;1234;22;0;1659669828.03960490227;0.03387999535;purr2.log;purr2;purr;142390
1659669828.11582994461;10.1.1.1;10.2.1.1;59;500;54321;1234;23;0;1659669828.07971692085;0.03611302376;purr2.log;purr2;purr;142390
