Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641343854.65157699585;10.1.1.1;10.2.1.1;59;500;54321;1234;1;0;1641343854.60523700714;0.04633998871;limpo2.log;limpo2;limpo;213611;1112
1641343854.70133304596;10.1.1.1;10.2.1.1;59;500;54321;1234;2;0;1641343854.65182590485;0.04950714111;limpo2.log;limpo2;limpo;213611;1112
1641343854.73777508736;10.1.1.1;10.2.1.1;59;500;54321;1234;3;0;1641343854.71036291122;0.02741217613;limpo2.log;limpo2;limpo;213611;1112
1641343854.77095103264;10.1.1.1;10.2.1.1;59;500;54321;1234;4;0;1641343854.74607801437;0.02487301826;limpo2.log;limpo2;limpo;213611;1112
1641343854.80517101288;10.1.1.1;10.2.1.1;59;500;54321;1234;5;0;1641343854.78236007690;0.02281093597;limpo2.log;limpo2;limpo;213611;1112
1641343854.84386205673;10.1.1.1;10.2.1.1;59;500;54321;1234;6;0;1641343854.80973196030;0.03413009644;limpo2.log;limpo2;limpo;213611;1112
1641343854.91119098663;10.1.1.1;10.2.1.1;59;500;54321;1234;7;0;1641343854.87496089935;0.03623008728;limpo2.log;limpo2;limpo;213611;1112
1641343854.96051502228;10.1.1.1;10.2.1.1;59;500;54321;1234;8;0;1641343854.91037011147;0.05014491081;limpo2.log;limpo2;limpo;213611;1112
1641343855.02067089081;10.1.1.1;10.2.1.1;59;500;54321;1234;9;0;1641343854.95496892929;0.06570196152;limpo2.log;limpo2;limpo;213611;1112
1641343855.05637001991;10.1.1.1;10.2.1.1;59;500;54321;1234;10;0;1641343855.02228689194;0.03408312798;limpo2.log;limpo2;limpo;213611;1112
1641343855.15093088150;10.1.1.1;10.2.1.1;59;500;54321;1234;11;0;1641343855.05794000626;0.09299087524;limpo2.log;limpo2;limpo;213611;1112
1641343855.22502207756;10.1.1.1;10.2.1.1;59;500;54321;1234;12;0;1641343855.15262508392;0.07239699364;limpo2.log;limpo2;limpo;213611;1112
1641343855.25451111794;10.1.1.1;10.2.1.1;59;500;54321;1234;13;0;1641343855.23022007942;0.02429103851;limpo2.log;limpo2;limpo;213611;1112
1641343855.32090306282;10.1.1.1;10.2.1.1;59;500;54321;1234;14;0;1641343855.25608301163;0.06482005119;limpo2.log;limpo2;limpo;213611;1112
1641343855.37253308296;10.1.1.1;10.2.1.1;59;500;54321;1234;15;0;1641343855.33844804764;0.03408503532;limpo2.log;limpo2;limpo;213611;1112
1641343855.42067408562;10.1.1.1;10.2.1.1;59;500;54321;1234;16;0;1641343855.36602807045;0.05464601517;limpo2.log;limpo2;limpo;213611;1112
1641343855.45310902596;10.1.1.1;10.2.1.1;59;500;54321;1234;17;0;1641343855.42201709747;0.03109192848;limpo2.log;limpo2;limpo;213611;1112
1641343855.52035808563;10.1.1.1;10.2.1.1;59;500;54321;1234;18;0;1641343855.45497608185;0.06538200378;limpo2.log;limpo2;limpo;213611;1112
1641343855.57769703865;10.1.1.1;10.2.1.1;59;500;54321;1234;19;0;1641343855.52204895020;0.05564808846;limpo2.log;limpo2;limpo;213611;1112
1641343855.60577511787;10.1.1.1;10.2.1.1;59;500;54321;1234;20;0;1641343855.58011007309;0.02566504478;limpo2.log;limpo2;limpo;213611;1112
1641343855.63472104073;10.1.1.1;10.2.1.1;59;500;54321;1234;21;0;1641343855.60193395615;0.03278708458;limpo2.log;limpo2;limpo;213611;1112
1641343855.66968297958;10.1.1.1;10.2.1.1;59;500;54321;1234;22;0;1641343855.63655710220;0.03312587738;limpo2.log;limpo2;limpo;213611;1112
1641343855.69824790955;10.1.1.1;10.2.1.1;59;500;54321;1234;23;0;1641343855.67000603676;0.02824187279;limpo2.log;limpo2;limpo;213611;1112
1641343855.75503396988;10.1.1.1;10.2.1.1;59;500;54321;1234;24;0;1641343855.70177006721;0.05326390266;limpo2.log;limpo2;limpo;213611;1112
