Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1643306649.99544501305;10.1.1.1;10.2.1.1;59;500;54321;1234;1;0;1643306649.94471502304;0.05072999001;limpo3.log;limpo3;limpo;710013
1643306650.02596211433;10.1.1.1;10.2.1.1;59;500;54321;1234;2;0;1643306649.99538207054;0.03058004379;limpo3.log;limpo3;limpo;710013
1643306650.10410904884;10.1.1.1;10.2.1.1;59;500;54321;1234;3;0;1643306650.04362201691;0.06048703194;limpo3.log;limpo3;limpo;710013
1643306650.14280390739;10.1.1.1;10.2.1.1;59;500;54321;1234;4;0;1643306650.11949491501;0.02330899239;limpo3.log;limpo3;limpo;710013
1643306650.18182992935;10.1.1.1;10.2.1.1;59;500;54321;1234;5;0;1643306650.15527701378;0.02655291557;limpo3.log;limpo3;limpo;710013
1643306650.23974609375;10.1.1.1;10.2.1.1;59;500;54321;1234;6;0;1643306650.19937705994;0.04036903381;limpo3.log;limpo3;limpo;710013
1643306650.30016803741;10.1.1.1;10.2.1.1;59;500;54321;1234;7;0;1643306650.27522897720;0.02493906021;limpo3.log;limpo3;limpo;710013
1643306650.35029697418;10.1.1.1;10.2.1.1;59;500;54321;1234;8;0;1643306650.30798006058;0.04231691360;limpo3.log;limpo3;limpo;710013
1643306650.38001608849;10.1.1.1;10.2.1.1;59;500;54321;1234;9;0;1643306650.35230708122;0.02770900726;limpo3.log;limpo3;limpo;710013
1643306650.40636205673;10.1.1.1;10.2.1.1;59;500;54321;1234;10;0;1643306650.38729000092;0.01907205582;limpo3.log;limpo3;limpo;710013
1643306650.45381593704;10.1.1.1;10.2.1.1;59;500;54321;1234;11;0;1643306650.41530704498;0.03850889206;limpo3.log;limpo3;limpo;710013
1643306650.48706603050;10.1.1.1;10.2.1.1;59;500;54321;1234;12;0;1643306650.45973396301;0.02733206749;limpo3.log;limpo3;limpo;710013
1643306650.52387189865;10.1.1.1;10.2.1.1;59;500;54321;1234;13;0;1643306650.49924898148;0.02462291718;limpo3.log;limpo3;limpo;710013
1643306650.56504011154;10.1.1.1;10.2.1.1;59;500;54321;1234;14;0;1643306650.53655695915;0.02848315239;limpo3.log;limpo3;limpo;710013
1643306650.61756491661;10.1.1.1;10.2.1.1;59;500;54321;1234;15;0;1643306650.58041810989;0.03714680672;limpo3.log;limpo3;limpo;710013
1643306650.65213799477;10.1.1.1;10.2.1.1;59;500;54321;1234;16;0;1643306650.62438297272;0.02775502205;limpo3.log;limpo3;limpo;710013
1643306650.69149303436;10.1.1.1;10.2.1.1;59;500;54321;1234;17;0;1643306650.65589690208;0.03559613228;limpo3.log;limpo3;limpo;710013
1643306650.73402094841;10.1.1.1;10.2.1.1;59;500;54321;1234;18;0;1643306650.70133399963;0.03268694878;limpo3.log;limpo3;limpo;710013
1643306650.77043294907;10.1.1.1;10.2.1.1;59;500;54321;1234;19;0;1643306650.74421906471;0.02621388435;limpo3.log;limpo3;limpo;710013
1643306650.82301497459;10.1.1.1;10.2.1.1;59;500;54321;1234;20;0;1643306650.78823399544;0.03478097916;limpo3.log;limpo3;limpo;710013
1643306650.85802507401;10.1.1.1;10.2.1.1;59;500;54321;1234;21;0;1643306650.82808089256;0.02994418144;limpo3.log;limpo3;limpo;710013
1643306650.91175389290;10.1.1.1;10.2.1.1;59;500;54321;1234;22;0;1643306650.87920904160;0.03254485130;limpo3.log;limpo3;limpo;710013
1643306650.95135903358;10.1.1.1;10.2.1.1;59;500;54321;1234;23;0;1643306650.91600990295;0.03534913063;limpo3.log;limpo3;limpo;710013
1643306650.98961997032;10.1.1.1;10.2.1.1;59;500;54321;1234;24;0;1643306650.95653104782;0.03308892250;limpo3.log;limpo3;limpo;710013
1643306651.03642010689;10.1.1.1;10.2.1.1;59;500;54321;1234;25;0;1643306650.99470901489;0.04171109200;limpo3.log;limpo3;limpo;710013
1643306651.07719588280;10.1.1.1;10.2.1.1;59;500;54321;1234;26;0;1643306651.03995800018;0.03723788261;limpo3.log;limpo3;limpo;710013
1643306651.10600090027;10.1.1.1;10.2.1.1;59;500;54321;1234;27;0;1643306651.07975888252;0.02624201775;limpo3.log;limpo3;limpo;710013
1643306651.12232089043;10.1.1.1;10.2.1.1;59;500;54321;1234;28;0;1643306651.10785603523;0.01446485519;limpo3.log;limpo3;limpo;710013
1643306651.15473294258;10.1.1.1;10.2.1.1;59;500;54321;1234;29;0;1643306651.12721991539;0.02751302719;limpo3.log;limpo3;limpo;710013
1643306651.19885492325;10.1.1.1;10.2.1.1;59;500;54321;1234;30;0;1643306651.16434001923;0.03451490402;limpo3.log;limpo3;limpo;710013
1643306651.24173188210;10.1.1.1;10.2.1.1;59;500;54321;1234;31;0;1643306651.21725392342;0.02447795868;limpo3.log;limpo3;limpo;710013
1643306651.27262806892;10.1.1.1;10.2.1.1;59;500;54321;1234;32;0;1643306651.25212907791;0.02049899101;limpo3.log;limpo3;limpo;710013
1643306651.31239891052;10.1.1.1;10.2.1.1;59;500;54321;1234;33;0;1643306651.29134488106;0.02105402946;limpo3.log;limpo3;limpo;710013
1643306651.33783602715;10.1.1.1;10.2.1.1;59;500;54321;1234;34;0;1643306651.32026600838;0.01757001877;limpo3.log;limpo3;limpo;710013
1643306651.36565089226;10.1.1.1;10.2.1.1;59;500;54321;1234;35;0;1643306651.34729790688;0.01835298538;limpo3.log;limpo3;limpo;710013
1643306651.39768600464;10.1.1.1;10.2.1.1;59;500;54321;1234;36;0;1643306651.37523007393;0.02245593071;limpo3.log;limpo3;limpo;710013
1643306651.43481993675;10.1.1.1;10.2.1.1;59;500;54321;1234;37;0;1643306651.40722489357;0.02759504318;limpo3.log;limpo3;limpo;710013
1643306651.46633005142;10.1.1.1;10.2.1.1;59;500;54321;1234;38;0;1643306651.43932509422;0.02700495720;limpo3.log;limpo3;limpo;710013
1643306651.49751400948;10.1.1.1;10.2.1.1;59;500;54321;1234;39;0;1643306651.47146511078;0.02604889870;limpo3.log;limpo3;limpo;710013
1643306651.55867290497;10.1.1.1;10.2.1.1;59;500;54321;1234;40;0;1643306651.51944303513;0.03922986984;limpo3.log;limpo3;limpo;710013
1643306651.59564805031;10.1.1.1;10.2.1.1;59;500;54321;1234;41;0;1643306651.56410694122;0.03154110909;limpo3.log;limpo3;limpo;710013
1643306651.63796091080;10.1.1.1;10.2.1.1;59;500;54321;1234;42;0;1643306651.60337805748;0.03458285332;limpo3.log;limpo3;limpo;710013
1643306651.67159295082;10.1.1.1;10.2.1.1;59;500;54321;1234;43;0;1643306651.63972401619;0.03186893463;limpo3.log;limpo3;limpo;710013
1643306651.72186398506;10.1.1.1;10.2.1.1;59;500;54321;1234;44;0;1643306651.67543005943;0.04643392563;limpo3.log;limpo3;limpo;710013
1643306651.75729990005;10.1.1.1;10.2.1.1;59;500;54321;1234;45;0;1643306651.73674106598;0.02055883408;limpo3.log;limpo3;limpo;710013
1643306651.78885388374;10.1.1.1;10.2.1.1;59;500;54321;1234;46;0;1643306651.75939893723;0.02945494652;limpo3.log;limpo3;limpo;710013
1643306651.83803009987;10.1.1.1;10.2.1.1;59;500;54321;1234;47;0;1643306651.79161691666;0.04641318321;limpo3.log;limpo3;limpo;710013
1643306651.88332891464;10.1.1.1;10.2.1.1;59;500;54321;1234;48;0;1643306651.84442806244;0.03890085220;limpo3.log;limpo3;limpo;710013
1643306651.92033004761;10.1.1.1;10.2.1.1;59;500;54321;1234;49;0;1643306651.88800191879;0.03232812881;limpo3.log;limpo3;limpo;710013
1643306651.95724511147;10.1.1.1;10.2.1.1;59;500;54321;1234;50;0;1643306651.93235802650;0.02488708496;limpo3.log;limpo3;limpo;710013
1643306651.99645590782;10.1.1.1;10.2.1.1;59;500;54321;1234;51;0;1643306651.96820402145;0.02825188637;limpo3.log;limpo3;limpo;710013
1643306652.03259491920;10.1.1.1;10.2.1.1;59;500;54321;1234;52;0;1643306652.00457406044;0.02802085876;limpo3.log;limpo3;limpo;710013
1643306652.07340192795;10.1.1.1;10.2.1.1;59;500;54321;1234;53;0;1643306652.04013299942;0.03326892853;limpo3.log;limpo3;limpo;710013
1643306652.11369299889;10.1.1.1;10.2.1.1;59;500;54321;1234;54;0;1643306652.07928299904;0.03440999985;limpo3.log;limpo3;limpo;710013
1643306652.14562106133;10.1.1.1;10.2.1.1;59;500;54321;1234;55;0;1643306652.12349891663;0.02212214470;limpo3.log;limpo3;limpo;710013
1643306652.20054602623;10.1.1.1;10.2.1.1;59;500;54321;1234;56;0;1643306652.15590000153;0.04464602470;limpo3.log;limpo3;limpo;710013
1643306652.25533390045;10.1.1.1;10.2.1.1;59;500;54321;1234;57;0;1643306652.21992111206;0.03541278839;limpo3.log;limpo3;limpo;710013
1643306652.29342103004;10.1.1.1;10.2.1.1;59;500;54321;1234;58;0;1643306652.26778197289;0.02563905716;limpo3.log;limpo3;limpo;710013
1643306652.33159589767;10.1.1.1;10.2.1.1;59;500;54321;1234;59;0;1643306652.29955601692;0.03203988075;limpo3.log;limpo3;limpo;710013
1643306652.36789202690;10.1.1.1;10.2.1.1;59;500;54321;1234;60;0;1643306652.33599591255;0.03189611435;limpo3.log;limpo3;limpo;710013
1643306652.41192102432;10.1.1.1;10.2.1.1;59;500;54321;1234;61;0;1643306652.37627410889;0.03564691544;limpo3.log;limpo3;limpo;710013
1643306652.45230388641;10.1.1.1;10.2.1.1;59;500;54321;1234;62;0;1643306652.41815710068;0.03414678574;limpo3.log;limpo3;limpo;710013
1643306652.49921298027;10.1.1.1;10.2.1.1;59;500;54321;1234;63;0;1643306652.45730495453;0.04190802574;limpo3.log;limpo3;limpo;710013
1643306652.54236197472;10.1.1.1;10.2.1.1;59;500;54321;1234;64;0;1643306652.50348210335;0.03887987137;limpo3.log;limpo3;limpo;710013
1643306652.58120608330;10.1.1.1;10.2.1.1;59;500;54321;1234;65;0;1643306652.54975104332;0.03145503998;limpo3.log;limpo3;limpo;710013
1643306652.60883808136;10.1.1.1;10.2.1.1;59;500;54321;1234;66;0;1643306652.58771991730;0.02111816406;limpo3.log;limpo3;limpo;710013
1643306652.64975810051;10.1.1.1;10.2.1.1;59;500;54321;1234;67;0;1643306652.61974906921;0.03000903130;limpo3.log;limpo3;limpo;710013
1643306652.68901705742;10.1.1.1;10.2.1.1;59;500;54321;1234;68;0;1643306652.65616798401;0.03284907341;limpo3.log;limpo3;limpo;710013
1643306652.72961497307;10.1.1.1;10.2.1.1;59;500;54321;1234;69;0;1643306652.69577193260;0.03384304047;limpo3.log;limpo3;limpo;710013
1643306652.76767301559;10.1.1.1;10.2.1.1;59;500;54321;1234;70;0;1643306652.73920106888;0.02847194672;limpo3.log;limpo3;limpo;710013
1643306652.79737401009;10.1.1.1;10.2.1.1;59;500;54321;1234;71;0;1643306652.77525496483;0.02211904526;limpo3.log;limpo3;limpo;710013
1643306652.84613609314;10.1.1.1;10.2.1.1;59;500;54321;1234;72;0;1643306652.81208896637;0.03404712677;limpo3.log;limpo3;limpo;710013
1643306652.88561105728;10.1.1.1;10.2.1.1;59;500;54321;1234;73;0;1643306652.85406088829;0.03155016899;limpo3.log;limpo3;limpo;710013
1643306652.93073105812;10.1.1.1;10.2.1.1;59;500;54321;1234;74;0;1643306652.88904404640;0.04168701172;limpo3.log;limpo3;limpo;710013
1643306652.95730710030;10.1.1.1;10.2.1.1;59;500;54321;1234;75;0;1643306652.92749309540;0.02981400490;limpo3.log;limpo3;limpo;710013
1643306652.98537397385;10.1.1.1;10.2.1.1;59;500;54321;1234;76;0;1643306652.96321010590;0.02216386795;limpo3.log;limpo3;limpo;710013
1643306653.02015590668;10.1.1.1;10.2.1.1;59;500;54321;1234;77;0;1643306652.99159598351;0.02855992317;limpo3.log;limpo3;limpo;710013
1643306653.05362701416;10.1.1.1;10.2.1.1;59;500;54321;1234;78;0;1643306653.02095699310;0.03267002106;limpo3.log;limpo3;limpo;710013
1643306653.08550500870;10.1.1.1;10.2.1.1;59;500;54321;1234;79;0;1643306653.06017708778;0.02532792091;limpo3.log;limpo3;limpo;710013
1643306653.11378788948;10.1.1.1;10.2.1.1;59;500;54321;1234;80;0;1643306653.09184193611;0.02194595337;limpo3.log;limpo3;limpo;710013
1643306653.14981698990;10.1.1.1;10.2.1.1;59;500;54321;1234;81;0;1643306653.11943006516;0.03038692474;limpo3.log;limpo3;limpo;710013
1643306653.18544006348;10.1.1.1;10.2.1.1;59;500;54321;1234;82;0;1643306653.15641999245;0.02902007103;limpo3.log;limpo3;limpo;710013
1643306653.21708989143;10.1.1.1;10.2.1.1;59;500;54321;1234;83;0;1643306653.19529891014;0.02179098129;limpo3.log;limpo3;limpo;710013
1643306653.24988293648;10.1.1.1;10.2.1.1;59;500;54321;1234;84;0;1643306653.22337794304;0.02650499344;limpo3.log;limpo3;limpo;710013
1643306653.28653311729;10.1.1.1;10.2.1.1;59;500;54321;1234;85;0;1643306653.25634503365;0.03018808365;limpo3.log;limpo3;limpo;710013
1643306653.32175111771;10.1.1.1;10.2.1.1;59;500;54321;1234;86;0;1643306653.29255700111;0.02919411659;limpo3.log;limpo3;limpo;710013
1643306653.35426306725;10.1.1.1;10.2.1.1;59;500;54321;1234;87;0;1643306653.33123302460;0.02303004265;limpo3.log;limpo3;limpo;710013
1643306653.38829708099;10.1.1.1;10.2.1.1;59;500;54321;1234;88;0;1643306653.36047101021;0.02782607079;limpo3.log;limpo3;limpo;710013
1643306653.43004703522;10.1.1.1;10.2.1.1;59;500;54321;1234;89;0;1643306653.39561510086;0.03443193436;limpo3.log;limpo3;limpo;710013
1643306653.47020506859;10.1.1.1;10.2.1.1;59;500;54321;1234;90;0;1643306653.43580794334;0.03439712524;limpo3.log;limpo3;limpo;710013
1643306653.49924397469;10.1.1.1;10.2.1.1;59;500;54321;1234;91;0;1643306653.47561502457;0.02362895012;limpo3.log;limpo3;limpo;710013
