Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641034638.82098889351;10.1.1.1;10.2.1.1;59;500;54321;1234;1;0;1641034638.78708100319;0.03390789032;rotor3.log;rotor3;rotor;281164;1112
1641034638.84420609474;10.1.1.1;10.2.1.1;59;500;54321;1234;2;0;1641034638.81780505180;0.02640104294;rotor3.log;rotor3;rotor;281164;1112
1641034638.87380290031;10.1.1.1;10.2.1.1;59;500;54321;1234;3;0;1641034638.84593009949;0.02787280083;rotor3.log;rotor3;rotor;281164;1112
1641034638.90807509422;10.1.1.1;10.2.1.1;59;500;54321;1234;4;0;1641034638.87823200226;0.02984309196;rotor3.log;rotor3;rotor;281164;1112
1641034638.94169592857;10.1.1.1;10.2.1.1;59;500;54321;1234;5;0;1641034638.90967106819;0.03202486038;rotor3.log;rotor3;rotor;281164;1112
1641034638.98013806343;10.1.1.1;10.2.1.1;59;500;54321;1234;6;0;1641034638.95065307617;0.02948498726;rotor3.log;rotor3;rotor;281164;1112
1641034639.01341390610;10.1.1.1;10.2.1.1;59;500;54321;1234;7;0;1641034638.98174500465;0.03166890144;rotor3.log;rotor3;rotor;281164;1112
1641034639.05484294891;10.1.1.1;10.2.1.1;59;500;54321;1234;8;0;1641034639.02648591995;0.02835702896;rotor3.log;rotor3;rotor;281164;1112
1641034639.09523200989;10.1.1.1;10.2.1.1;59;500;54321;1234;9;0;1641034639.06229400635;0.03293800354;rotor3.log;rotor3;rotor;281164;1112
1641034639.13046097755;10.1.1.1;10.2.1.1;59;500;54321;1234;10;0;1641034639.09781908989;0.03264188766;rotor3.log;rotor3;rotor;281164;1112
1641034639.16312003136;10.1.1.1;10.2.1.1;59;500;54321;1234;11;0;1641034639.13411903381;0.02900099754;rotor3.log;rotor3;rotor;281164;1112
1641034639.19831204414;10.1.1.1;10.2.1.1;59;500;54321;1234;12;0;1641034639.16587495804;0.03243708611;rotor3.log;rotor3;rotor;281164;1112
1641034639.22961997986;10.1.1.1;10.2.1.1;59;500;54321;1234;13;0;1641034639.20212197304;0.02749800682;rotor3.log;rotor3;rotor;281164;1112
1641034639.26692104340;10.1.1.1;10.2.1.1;59;500;54321;1234;14;0;1641034639.23427700996;0.03264403343;rotor3.log;rotor3;rotor;281164;1112
1641034639.29692506790;10.1.1.1;10.2.1.1;59;500;54321;1234;15;0;1641034639.27002501488;0.02690005302;rotor3.log;rotor3;rotor;281164;1112
1641034639.33071708679;10.1.1.1;10.2.1.1;59;500;54321;1234;16;0;1641034639.30235004425;0.02836704254;rotor3.log;rotor3;rotor;281164;1112
1641034639.37059092522;10.1.1.1;10.2.1.1;59;500;54321;1234;17;0;1641034639.33369398117;0.03689694405;rotor3.log;rotor3;rotor;281164;1112
1641034639.40094995499;10.1.1.1;10.2.1.1;59;500;54321;1234;18;0;1641034639.37417006493;0.02677989006;rotor3.log;rotor3;rotor;281164;1112
1641034639.44035696983;10.1.1.1;10.2.1.1;59;500;54321;1234;19;0;1641034639.40615391731;0.03420305252;rotor3.log;rotor3;rotor;281164;1112
1641034639.47626304626;10.1.1.1;10.2.1.1;59;500;54321;1234;20;0;1641034639.44168901443;0.03457403183;rotor3.log;rotor3;rotor;281164;1112
1641034639.51101803780;10.1.1.1;10.2.1.1;59;500;54321;1234;21;0;1641034639.47418189049;0.03683614731;rotor3.log;rotor3;rotor;281164;1112
1641034639.54566407204;10.1.1.1;10.2.1.1;59;500;54321;1234;22;0;1641034639.51361203194;0.03205204010;rotor3.log;rotor3;rotor;281164;1112
1641034639.57961297035;10.1.1.1;10.2.1.1;59;500;54321;1234;23;0;1641034639.54595303535;0.03365993500;rotor3.log;rotor3;rotor;281164;1112
1641034639.61397600174;10.1.1.1;10.2.1.1;59;500;54321;1234;24;0;1641034639.58167004585;0.03230595589;rotor3.log;rotor3;rotor;281164;1112
1641034639.65901803970;10.1.1.1;10.2.1.1;59;500;54321;1234;25;0;1641034639.62271404266;0.03630399704;rotor3.log;rotor3;rotor;281164;1112
1641034639.69032907486;10.1.1.1;10.2.1.1;59;500;54321;1234;26;0;1641034639.66155791283;0.02877116203;rotor3.log;rotor3;rotor;281164;1112
1641034639.72357392311;10.1.1.1;10.2.1.1;59;500;54321;1234;27;0;1641034639.69416189194;0.02941203117;rotor3.log;rotor3;rotor;281164;1112
1641034639.76112794876;10.1.1.1;10.2.1.1;59;500;54321;1234;28;0;1641034639.72574710846;0.03538084030;rotor3.log;rotor3;rotor;281164;1112
